,id,Nombre,Descubridor(es),Fecha,Observatorio o Sitio de observación
392,393,Lampetia,M. F. Wolf,4 de noviembre de 1894,Observatorio de Heidelberg-Königstuhl
393,394,Arduina,A. L. N. Borrelly,19 de noviembre de 1894,Observatorio de Marsella
394,395,Delia,A. H. Charlois,30 de noviembre de 1894,Observatorio de Niza
395,396,Aeolia,A. H. Charlois,1 de diciembre de 1894,Observatorio de Niza
396,397,Vienna,A. H. Charlois,19 de diciembre de 1894,Observatorio de Niza
397,398,Admete,A. H. Charlois,28 de diciembre de 1894,Observatorio de Niza
398,399,Persephone,M. F. Wolf,23 de febrero de 1895,Observatorio de Heidelberg-Königstuhl
399,400,Ducrosa,A. H. Charlois,15 de marzo de 1895,Observatorio de Niza
400,401,Ottilia,M. F. Wolf,16 de marzo de 1895,Observatorio de Heidelberg-Königstuhl
401,402,Chloë,A. H. Charlois,21 de marzo de 1895,Observatorio de Niza
402,403,Cyane,A. H. Charlois,18 de mayo de 1895,Observatorio de Niza
403,404,Arsinoë,A. H. Charlois,20 de junio de 1895,Observatorio de Niza
404,405,Thia,A. H. Charlois,23 de julio de 1895,Observatorio de Niza
405,406,Erna,A. H. Charlois,22 de agosto de 1895,Observatorio de Niza
406,407,Arachne,M. F. Wolf,13 de octubre de 1895,Observatorio de Heidelberg-Königstuhl
407,408,Fama,M. F. Wolf,13 de octubre de 1895,Observatorio de Heidelberg-Königstuhl
408,409,Aspasia,A. H. Charlois,9 de diciembre de 1895,Observatorio de Niza
409,410,Chloris,A. H. Charlois,7 de enero de 1896,Observatorio de Niza
410,411,Xanthe,A. H. Charlois,7 de enero de 1896,Observatorio de Niza
411,412,Elisabetha,M. F. Wolf,7 de enero de 1896,Observatorio de Heidelberg-Königstuhl
412,413,Edburga,M. F. Wolf,7 de enero de 1896,Observatorio de Heidelberg-Königstuhl
413,414,Liriope,A. H. Charlois,16 de enero de 1896,Observatorio de Niza
414,415,Palatia,M. F. Wolf,7 de febrero de 1896,Observatorio de Heidelberg-Königstuhl
415,416,Vaticana,A. H. Charlois,4 de mayo de 1896,Observatorio de Niza
416,417,Suevia,M. F. Wolf,6 de mayo de 1896,Observatorio de Heidelberg-Königstuhl
417,418,Alemannia,M. F. Wolf,7 de septiembre de 1896,Observatorio de Heidelberg-Königstuhl
418,419,Aurelia,M. F. Wolf,7 de septiembre de 1896,Observatorio de Heidelberg-Königstuhl
419,420,Bertholda,M. F. Wolf,7 de septiembre de 1896,Observatorio de Heidelberg-Königstuhl
420,421,Zähringia,M. F. Wolf,7 de septiembre de 1896,Observatorio de Heidelberg-Königstuhl
421,422,Berolina,C. G. Witt,8 de octubre de 1896,"Observatorio Urania, Berlín"
422,423,Diotima,A. H. Charlois,7 de diciembre de 1896,Observatorio de Niza
423,424,Gratia,A. H. Charlois,31 de diciembre de 1896,Observatorio de Niza
424,425,Cornelia,A. H. Charlois,28 de diciembre de 1896,Observatorio de Niza
425,426,Hippo,A. H. Charlois,25 de agosto de 1897,Observatorio de Niza
426,427,Galene,A. H. Charlois,27 de agosto de 1897,Observatorio de Niza
427,428,Monachia,W. A. Villiger,18 de noviembre de 1897,Múnich
428,429,Lotis,A. H. Charlois,23 de noviembre de 1897,Observatorio de Niza
429,430,Hybris,A. H. Charlois,18 de diciembre de 1897,Observatorio de Niza
430,431,Nephele,A. H. Charlois,18 de diciembre de 1897,Observatorio de Niza
431,432,Pythia,A. H. Charlois,18 de diciembre de 1897,Observatorio de Niza
432,433,Eros,C. G. Witt,13 de agosto de 1898,"Observatorio Urania, Berlín"
433,434,Hungaria,M. F. Wolf,11 de septiembre de 1898,Observatorio de Heidelberg-Königstuhl
434,435,Ella,M. F. Wolf; F. K. A. Schwassmann,11 de septiembre de 1898,Observatorio de Heidelberg-Königstuhl
435,436,Patricia,M. F. Wolf; F. K. A. Schwassmann,13 de septiembre de 1898,Observatorio de Heidelberg-Königstuhl
436,437,Rhodia,A. H. Charlois,16 de julio de 1898,Observatorio de Niza
437,438,Zeuxo,A. H. Charlois,8 de noviembre de 1898,Observatorio de Niza
438,439,Ohio,E. F. Coddington,13 de octubre de 1898,"Observatorio Lick, Monte Hamilton"
439,440,Theodora,E. F. Coddington,13 de octubre de 1898,"Observatorio Lick, Monte Hamilton"
440,441,Bathilde,A. H. Charlois,8 de diciembre de 1898,Observatorio de Niza
441,442,Eichsfeldia,M. F. Wolf; F. K. A. Schwassmann,15 de febrero de 1899,Observatorio de Heidelberg-Königstuhl
442,443,Photographica,M. F. Wolf; F. K. A. Schwassmann,17 de febrero de 1899,Observatorio de Heidelberg-Königstuhl
443,444,Gyptis,J. E. Coggia,31 de marzo de 1899,Observatorio de Marsella
