fecha,siglas,open,high,low,close,volume
2020-11-30,AAPL,116.9700,120.9700,116.8100,119.0500,169410176
2020-11-27,AAPL,116.5700,117.4900,116.2200,116.5900,46691331
2020-11-25,AAPL,115.5500,116.7500,115.1700,116.0300,76499234
2020-11-24,AAPL,113.9100,115.8500,112.5900,115.1700,113226248
2020-11-23,AAPL,117.1800,117.6202,113.7500,113.8500,127959318
2020-11-20,AAPL,118.6400,118.7700,117.2900,117.3400,73604287
2020-11-19,AAPL,117.5900,119.0600,116.8100,118.6400,74112972
2020-11-18,AAPL,118.6100,119.8200,118.0000,118.0300,76322111
2020-11-17,AAPL,119.5500,120.6741,118.9600,119.3900,74270973
2020-11-16,AAPL,118.9200,120.9900,118.1460,120.3000,91183018
2020-11-13,AAPL,119.4400,119.6717,117.8700,119.2600,81688586
2020-11-12,AAPL,119.6200,120.5300,118.5700,119.2100,103350674
2020-11-11,AAPL,117.1900,119.6300,116.4400,119.4900,112294954
2020-11-10,AAPL,115.5500,117.5900,114.1300,115.9700,138023390
2020-11-09,AAPL,120.5000,121.9900,116.0500,116.3200,154515315
2020-11-06,AAPL,118.3200,119.2000,116.1300,118.6900,114457922
2020-11-05,AAPL,117.9500,119.6200,116.8686,119.0300,126387074
2020-11-04,AAPL,114.1400,115.5900,112.3500,114.9500,138235482
2020-11-03,AAPL,109.6600,111.4900,108.7300,110.4400,107624448
2020-11-02,AAPL,109.1100,110.6800,107.3200,108.7700,122866899
2020-10-30,AAPL,111.0600,111.9900,107.7200,108.8600,190573476
2020-10-29,AAPL,112.3700,116.9300,112.2000,115.3200,146129173
2020-10-28,AAPL,115.0500,115.4300,111.1000,111.2000,143937823
2020-10-27,AAPL,115.4900,117.2800,114.5399,116.6000,92276772
2020-10-26,AAPL,114.0100,116.5500,112.8800,115.0500,111850657
2020-10-23,AAPL,116.3900,116.5500,114.2800,115.0400,82572645
2020-10-22,AAPL,117.4500,118.0400,114.5900,115.7500,101987954
2020-10-21,AAPL,116.6700,118.7050,116.4500,116.8700,89945980
2020-10-20,AAPL,116.2000,118.9800,115.6300,117.5100,124423728
2020-10-19,AAPL,119.9600,120.4190,115.6600,115.9800,120639337
2020-10-16,AAPL,121.2800,121.5480,118.8100,119.0200,115393808
2020-10-15,AAPL,118.7200,121.2000,118.1500,120.7100,112559219
2020-10-14,AAPL,121.0000,123.0300,119.6200,121.1900,151062308
